model,best_score,training_time,testing_time,accuracy,precision,recall,f1,roc_auc
logistic_regression__count_char,0.6567164179104478,,,0.885,0.6470588235294118,0.6666666666666666,0.6567164179104478,0.9038287062239158
random_forest__count_char,0.4444444444444444,,,0.875,0.8333333333333334,0.30303030303030304,0.4444444444444444,0.8387769914716022
