vectorizer,accuracy,precision,recall,f1,roc_auc
count_char,0.8730483000145921,0.6569973427812223,0.44697197951190115,0.5320064550833782,0.8436483859278191
count_word,0.8086118001848339,0.43228679826249516,0.5921964447122627,0.4997616247655977,0.7973134896965304
tfidf_word,0.7415000729607472,0.338968689477082,0.6327960228984634,0.4414608512874409,0.7654478435783149
tfidf_char,0.7385573228269857,0.33588761174968074,0.6339258812895451,0.4391109255974121,0.7640393064452086
